CourseTitle,Section,CrsPBADiv,N.Ret,CrsLvlNum,N.NOCRED,NComb,PCT.C_MINUS_OR_BELOW,PCT.WDRAW,PCT.DF,CrsPBADept,Workload.Raw,Hours,Instructors.title,RAP,N.ENROLL,PCT.GRADE,Subject_Label,CrsPBAColl,Level,Instructors.name,Workload.Hrs_Wk,NIntrFCQ,N.PASS,AvgInstructor,PCT.F,PCT.D,PCT.B,PCT.C,Instruction_Mode,PCT.A,N.GRADE,N.EOT,Instructors.group,PCT.INCOMP,Course,AvgCourse,N.INCOMP,YearTerm,Activity_Type,Honors,AVG_GRD,Subject
Special Topics in World Areas History,001,AH,15,4XXX,0,2,0.06,0,0.06,HIST,3.40,3,ASST PROFESSOR,0,16,1,History,AS,Upper,"OSBORNE, MYLES GREGORY",7-9,1,0,5.6,0.06,0,0.5,0.12,P  - In Person,0.31,16,16,1 TTT,0,4808,5.4,0,20137,LEC - Lecture,0,2.98,HIST
Human Rights: Historical Perspectives,002,AH,20,4XXX,0,1,0.03,0,0.03,HIST,2.71,3,ASSOCIATE PROFESSOR,0,30,1,History,AS,Upper,"MUKHERJEE, MITHI",7-9,1,0,5,0,0.03,0.33,0.13,P  - In Person,0.5,30,30,1 TTT,0,4820,5.15,0,20137,LEC - Lecture,0,3.25,HIST
Historical Methods: Introduction to the Professional Study of History,801,AH,11,5XXX,0,1,0,0,0,HIST,3.55,3,ASSOCIATE PROFESSOR,1,13,1,History,AS,Masters,"MUKHERJEE, MITHI",10-12,1,0,4.91,0,0,0,0,P  - In Person,1,13,13,1 TTT,0,5000,4.73,0,20137,SEM - Seminar,0,3.84,HIST
Readings in Environmental History,802,AH,11,6XXX,0,1,0,0,0,HIST,4.36,3,ASSOCIATE PROFESSOR,1,13,1,History,AS,Masters,"SUTTER, PAUL SHRIVER",10-12,1,0,5.36,0,0,0.08,0,P  - In Person,0.92,13,13,1 TTT,0,6410,5.27,0,20137,SEM - Seminar,0,3.9,HIST
Seminar: Modern European History,801,AH,14,7XXX,0,1,0,0,0,HIST,3.75,3,PROFESSOR,1,14,0.71,History,AS,Doctoral,"HANNA, MARTHA",10-12,1,0,5.93,0,0,0.2,0,P  - In Person,0.8,10,14,1 TTT,0.29,7052,5.71,4,20137,SEM - Seminar,0,3.8,HIST
Honors Coseminar,880,SS,9,1XXX,0,1,0,0,0,HONR,1.14,1,PROFESSOR,0,14,1,Honors,AS,Lower,"BREED, MICHAEL D",0-3,1,0,5.78,0,0,0,0,HN - Honors Thesis Courses,1,14,14,1 TTT,0,1001,5.67,0,20137,SEM - Seminar,1,4,HONR
Honors Diversity Seminar,880,SS,8,1XXX,0,1,0.17,0,0.17,HONR,3.00,3,ASST VICE CHANCELLOR,0,12,1,Honors,AS,Lower,"KEASLEY, ALPHONSE",7-9,1,0,5.5,0.17,0,0,0,HN - Honors Thesis Courses,0.83,12,12,3 Supp,0,1810,5.13,0,20137,SEM - Seminar,1,3.21,HONR
Ethics of Ambition,880,SS,11,2XXX,0,1,0,0,0,HONR,2.36,3,SENIOR INSTRUCTOR,0,16,1,Honors,AS,Lower,"STROM, PAUL",4-6,1,0,5.73,0,0,0.19,0,HN - Honors Thesis Courses,0.81,16,16,2 Other reg,0,2250,5.36,0,20137,LEC - Lecture,1,3.76,HONR
Ethics of Ambition,888,SS,,2XXX,0,1,0,0.06,0,HONR,,3,SENIOR INSTRUCTOR,0,17,1,Honors,AS,Lower,"STROM, PAUL",,,0,,0,0,0.13,0,P  - In Person,0.88,16,16,2 Other reg,0,2250,,0,20137,LEC - Lecture,1,3.8,HONR
Introduction to the Bible,880,SS,13,2XXX,0,1,0,0,0,HONR,1.73,3,ASSOCIATE PROFESSOR,0,14,1,Honors,AS,Lower,"KOPFF, E CHRISTIAN",4-6,1,0,5.54,0,0,0,0,HN - Honors Thesis Courses,1,14,14,1 TTT,0,2251,5.08,0,20137,SEM - Seminar,1,3.96,HONR
Introduction to the Bible,888,SS,,2XXX,0,1,0,0,0,HONR,,3,LECTURER,0,17,1,Honors,AS,Lower,"STREIT, JUDITH ANN",,,0,,0,0,0.18,0,P  - In Person,0.82,17,17,3 Supp,0,2251,,0,20137,SEM - Seminar,1,3.84,HONR
Open Topics,888,SS,,2XXX,0,1,0,0.06,0,HONR,,3,SENIOR INSTRUCTOR,0,17,1,Honors,AS,Lower,"STROM, PAUL",,,0,,0,0,0.13,0,P  - In Person,0.88,16,16,2 Other reg,0,2500,,0,20137,LEC - Lecture,1,3.76,HONR
Leadership Practicum: Kittredge Honors Program Flock Leaders,888,SS,,2XXX,0,1,0,0,0,HONR,,1,ASSOCIATE PROFESSOR,0,21,1,Honors,AS,Lower,"GERLAND, OLIVER W",,,0,,0,0,0,0,P  - In Person,1,21,21,1 TTT,0,2610,,0,20137,LEC - Lecture,1,4,HONR
Advanced Honors Writing Workshop,880,SS,16,3XXX,0,1,0,0,0,HONR,3.19,3,SENIOR INSTRUCTOR,0,16,1,Honors,AS,Upper,"NORGAARD, ROLF P",7-9,1,0,5.94,0,0,0,0,HN - Honors Thesis Courses,1,16,16,2 Other reg,0,3220,5.44,0,20137,SEM - Seminar,1,3.98,HONR
Open Topics,888,SS,,3XXX,0,1,0,0,0,HONR,,1,ASSOCIATE PROFESSOR,0,15,1,Honors,AS,Upper,"ELLINGSON, ERICA",,,0,,0,0,0.4,0,P  - In Person,0.6,15,15,1 TTT,0,3550,,0,20137,SEM - Seminar,1,3.54,HONR
Open Topics,889,SS,,3XXX,0,1,0,0,0,HONR,,1,LECTURER,0,15,1,Honors,AS,Upper,"LESTER, ALAN P",,,0,,0,0,0,0,P  - In Person,1,15,15,3 Supp,0,3550,,0,20137,SEM - Seminar,1,4,HONR
Introduction to Humanities 1,100,AH,74,1XXX,0,3,0.11,0.04,0.08,HUMN,2.03,6,LECTURER,0,140,0.99,Humanities,AS,Lower,"WIESE, ANNJEANETTE MICHELLE",4-6,6,0,4.81,0.03,0.05,0.36,0.21,P  - In Person,0.35,133,134,3 Supp,0.01,1010,4.24,1,20137,LEC - Lecture,0,2.9,HUMN
Methods and Approaches to the Humanities,001,AH,24,2XXX,0,1,0,0.08,0,HUMN,2.18,3,PROFESSOR,0,26,1,Humanities,AS,Lower,"FERRIS, DAVID S",4-6,4,0,5.08,0,0,0.13,0.08,P  - In Person,0.79,24,24,1 TTT,0,2000,4.59,0,20137,LEC - Lecture,0,3.63,HUMN
"Arts, Culture and Media",280,AH,,2XXX,0,1,0,0,0,HUMN,,3,INSTRUCTOR,0,17,1,Humanities,AS,Lower,"BERNARDINI, GIULIA",,,0,,0,0,0.59,0.12,P  - In Person,0.29,17,17,2 Other reg,0,2100,,0,20137,SEM - Seminar,0,3.19,HUMN
